weight,age_group,sex,province,visibile_minority,family_income,main_activity,likely_future_edu,desired_future_edu,obstacles,obstacles_future_edu
5172.4044,15 to 24 years,Female,Alberta,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
3004.0294,15 to 24 years,Female,British Columbia,Visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,No,"NA"
2997.5252,15 to 24 years,Male,Manitoba,Not a visible minority,"$100,000 to $124,999",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,Yes,Personal health
2002.3101,15 to 24 years,Male,Saskatchewan,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
5203.5523,15 to 24 years,Male,British Columbia,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
2391.3927,15 to 24 years,Male,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,University bachelor's degree,No,"NA"
1790.1617,25 to 34 years,Female,Ontario,Visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,Yes,Other - Specify
1484.2561,15 to 24 years,Female,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
4517.9579,15 to 24 years,Male,Ontario,Visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1959.2548,15 to 24 years,Female,Alberta,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,Yes,Not able to get into program
1302.7021,15 to 24 years,Male,Saskatchewan,Visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
1555.414,25 to 34 years,Male,Quebec,Not a visible minority,"$25,000 to $49,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,Yes,Financial situation
1663.4419,25 to 34 years,Male,Nova Scotia,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2634.2033,15 to 24 years,Female,Manitoba,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
3283.0989,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
